,DM_1,DM_2,DM_3,DM_4,DM_5,selected,Pseudoorder-1,Pseudoorder-2
ADGRB3,4.9945676616147297e-05,0.008607265658382943,-0.027647947691549418,-0.03249056308875962,-0.0008346719945142926,Trajectory-2,0.0,122.0
RGCC,0.003690325851689495,-0.004019330755568654,0.00977400636657476,-0.0034648958190443705,0.0021253644810131644,Trajectory-2,0.0,19.0
TENM1,0.0026821580012499273,0.0005594361155512265,-0.0068412316288415905,0.0029051150744195133,-0.002987747537415809,Trajectory-2,0.0,99.0
FHIT,0.0024933616947823674,0.0006036946943156424,-0.004805320459355724,0.004622484688327324,-0.0009268718772149943,Trajectory-2,0.0,92.0
ID2,0.0036276537554243396,-0.003562903045172177,0.007468466801325765,-0.001214679289987332,0.00041047600063611264,Trajectory-2,0.0,30.0
CCDC26,0.0033942021599440973,-0.00232535802723986,0.002524524973943396,0.00029480093316305525,-0.0012355588809593112,Trajectory-2,0.0,52.0
THBS1,-0.0719044564199931,0.06615238675802053,0.02156967953751572,-0.0007478442856149678,0.007551635118321735,Trajectory-1,10.0,0.0
AC105402.3,0.0029851714295028656,-0.0005050707787815614,-0.00397290056222425,0.0019798757547397046,-0.0029270174099642323,Trajectory-2,0.0,86.0
C1QA,0.0007127409203659967,0.00480368392495549,-0.011294443660003192,0.00967580333132958,0.002013128960660956,Trajectory-2,0.0,125.0
PRICKLE1,0.002284963395706035,0.0011857394341630587,-0.005908718156719999,0.006471983818640337,-0.0004647732080719378,Trajectory-2,0.0,100.0
PRR16,-0.10346215595628286,0.030094316395413094,0.020202993260283922,-0.002689347362943257,-0.04109662443278326,Trajectory-1,12.0,0.0
IMMP2L,0.0036829852790871633,-0.00390847376984023,0.009042668264298967,-0.0030909012358800894,0.0014056833891725772,Trajectory-2,0.0,20.0
ZNF804A,0.0033131586545700658,-0.002289618122153748,0.003500468493528959,0.0009724874311346506,1.7961054362867848e-05,Trajectory-2,0.0,49.0
LMNA,0.0031017063156732368,-0.0012132085737255852,-0.0007696472100287656,0.002707529668334337,-0.0016928884553988955,Trajectory-2,0.0,68.0
IFITM2,0.0030271721794990236,-0.0006942523073912665,-0.0032897240191669818,0.002142651160851987,-0.0027696002601832127,Trajectory-2,0.0,78.0
SYT1,0.0030779452743911894,-0.0008902856920827275,-0.0027025055964036153,0.002091723003879718,-0.002753628127103881,Trajectory-2,0.0,73.0
SETBP1,0.002453788132744718,0.0008900923249043028,-0.005907594288369328,0.006795473192976758,-0.001130969932357605,Trajectory-2,0.0,101.0
LINC02506,0.0022616482503099145,0.0022300953189161614,-0.012192579475189922,-0.00797953255995442,-0.0029038275186259585,Trajectory-2,0.0,111.0
FMNL2,0.000282388237012682,0.0074580823433090405,-0.02409776896301751,-0.030131269572726646,-0.0008655749194778509,Trajectory-2,0.0,113.0
SASH1,-0.002520074363523129,0.009902279691784702,-0.012583965322911977,0.01043782992831807,0.005672602388261124,Trajectory-2,0.0,131.0
ACSM3,0.0032693398808373818,-0.0016975414105942005,-1.8019383738820334e-05,0.0007921918724843272,-0.0022754100235999743,Trajectory-2,0.0,61.0
PLCL1,0.0026692370171573954,-7.269076018961836e-05,-0.0027529900444395717,0.005140724723617736,-0.000921714352732804,Trajectory-2,0.0,82.0
ST6GALNAC3,0.0029075710794107057,-0.0004929928842792689,-0.0029603849537308785,0.0038616185849954785,-0.0019432431857586167,Trajectory-2,0.0,81.0
PRKCA,0.002517551572951629,0.000306387514497602,-0.003041813207121968,0.004904853199109735,0.00028235809704769635,Trajectory-2,0.0,84.0
TPRG1,0.0022534307216013545,0.000945395622325145,-0.00400014392039524,0.00558554111820031,0.0006109998223646085,Trajectory-2,0.0,91.0
OVCH1-AS1,0.0038425445980304887,-0.004712459559214493,0.012071690463506932,-0.005081195678947248,0.0023410154185960303,Trajectory-2,0.0,11.0
LYPD2,0.0036537287078718408,-0.0036134372529864215,0.007418631348757164,-0.004658080338573159,0.0006808118674251759,Trajectory-2,0.0,29.0
AUTS2,-0.04186484968059346,0.042987378352564935,0.0027218725302468327,0.004863336113056873,0.01589273983005631,Trajectory-1,6.0,0.0
G0S2,-0.0011678096188976088,0.01528549659462105,-0.05555466075226718,-0.09601530472036163,0.0010787231916821408,Trajectory-2,0.0,110.0
MS4A7,-0.006713139367420002,0.01657846745224304,-0.025782922599050427,-0.03351855047094451,0.004500571217232335,Trajectory-1,2.0,0.0
AFF2,0.003269437173037711,-0.0017174401779580396,0.00021980288772833378,-0.00044925921434018533,-0.001805121639730648,Trajectory-2,0.0,59.0
MIR646HG,0.003688573262858099,-0.003888246032908985,0.008707959936808526,-0.003225305353896327,0.000946783475284967,Trajectory-2,0.0,25.0
SMYD3,0.0038950205963557793,-0.005072103978635201,0.013937403411335963,-0.006728752171252367,0.0038934556918029566,Trajectory-2,0.0,6.0
IRS2,0.0037855046340993905,-0.0043697240197370976,0.010587742866493397,-0.00516714398028284,0.0018361815111724385,Trajectory-2,0.0,13.0
CACNB4,0.003957854475088057,-0.005401326066646439,0.015117866346882987,-0.007065960153705906,0.003937022693852605,Trajectory-2,0.0,3.0
TNFAIP6,0.0031927711320316556,-0.0013856739754165345,-0.0009479323904774924,0.0012985896239504195,-0.00223323004454967,Trajectory-2,0.0,66.0
CSGALNACT1,0.0031024546178970254,-0.0013248417953655991,-6.561053681912941e-05,0.002773491282104711,-0.0011252688536494261,Trajectory-2,0.0,65.0
CCL3,0.003982985620096239,-0.005512524800449349,0.015631315833633384,-0.00770720016755933,0.0045247225644087005,Trajectory-2,0.0,4.0
NR6A1,0.003593224941411633,-0.0033652247334888855,0.006522732071939925,-0.0013761053095298725,-9.41838343028867e-05,Trajectory-2,0.0,32.0
MCTP2,0.0022406976628062316,0.0010046978979716778,-0.004923720294221088,0.005144374423480077,-0.000780280792777529,Trajectory-2,0.0,94.0
GMDS-DT,0.003460875402070661,-0.00276795059516781,0.004454635936037879,0.0002554469328051494,-0.0005785289253213697,Trajectory-2,0.0,43.0
NFIA,0.00348736507439779,-0.003001517297816336,0.005855696078563775,-0.0008896099325696124,0.0006252509665292103,Trajectory-2,0.0,35.0
ALCAM,0.0038996038359641926,-0.005072023262292462,0.013740301438223449,-0.00684265055371375,0.0034712940721025303,Trajectory-2,0.0,8.0
SPOCK1,0.0023438886701683493,0.001522337716451715,-0.008598423228165333,0.005635712875096052,-0.001981558658053732,Trajectory-2,0.0,116.0
VNN3,0.0033871712171528886,-0.0023747887938896433,0.0029112928806991445,-0.0031896100337465384,-0.0005609232565461249,Trajectory-2,0.0,46.0
EMP1,0.0026334181307166695,-2.6027574077337557e-05,-0.0025043281032720447,0.00442325889418251,-0.0005082383015135179,Trajectory-2,0.0,80.0
PAM,-0.007389870121434812,0.017536813601074126,-0.0159393635636736,-0.002681652194739368,0.008848251123171003,Trajectory-1,1.0,0.0
PTGS2,0.0037750122520188063,-0.004337427054046641,0.010491893214437087,-0.00356757828491145,0.0014815678445721664,Trajectory-2,0.0,16.0
MRC1,0.003841892914449413,-0.0048223113067299254,0.012952890965175002,-0.006256484039385441,0.0034358029800622397,Trajectory-2,0.0,10.0
KIAA1671,0.004032244163467342,-0.0059040557927164,0.017519368084747876,-0.008757896402546149,0.005442021862410657,Trajectory-2,0.0,2.0
SPOCK3,0.0030063472751838435,-0.0008817645646922853,-0.0017170704500836915,0.002942308401563699,-0.0016353185341012612,Trajectory-2,0.0,71.0
LIN7A,-0.01570954941190509,0.024624996281591437,-0.008347537058038262,0.007463354743415392,0.01388972076801896,Trajectory-1,3.0,0.0
TMX4,0.0023367105145687805,0.0014454623148550095,-0.008076621481733055,0.0056662249759621905,-0.0018683641224598888,Trajectory-2,0.0,114.0
LGR4,0.0036162325931643623,-0.0035018291478444395,0.007364992284102679,-0.0012974182783610387,0.0007089494821141529,Trajectory-2,0.0,31.0
DACH1,0.0018728921972412747,0.004712464621208447,-0.023531857337086834,-0.03056233289025642,-0.004445840400554772,Trajectory-2,0.0,104.0
AC079142.1,0.003695709309546978,-0.003890622383769323,0.008668798104787857,-0.0029875868184860454,0.0009341407150547428,Trajectory-2,0.0,27.0
TPST1,0.0017271201569378427,0.0029872982591393656,-0.010718775966018572,0.007756932584125368,-0.0006782793089054467,Trajectory-2,0.0,123.0
KLF12,0.0030450895011560506,-0.0009307181843392101,-0.0019856200644176006,0.0030327123979545802,-0.0021491299112889766,Trajectory-2,0.0,72.0
NCAM2,0.0012156628589534179,0.003523586475592474,-0.00975785626647005,-0.003105204907985284,-0.0003512870475323279,Trajectory-2,0.0,106.0
PAPSS2,0.003592542632222021,-0.0032387026401006543,0.00572024993475648,-0.0020863604521534646,-0.0004544816136386623,Trajectory-2,0.0,34.0
CRADD,0.003736571413997082,-0.004126715704729588,0.009623229630292046,-0.004903320588279623,0.0014448419245212073,Trajectory-2,0.0,18.0
AL050309.1,0.002844354624405871,0.0003639423165823759,-0.007999356886646526,-0.014865255233898986,-0.002859189365525428,Trajectory-2,0.0,67.0
AL035446.2,0.00310853225957548,-0.0009683887697223919,-0.0024541558103486484,-0.001813459466799494,-0.0023486166613895473,Trajectory-2,0.0,69.0
MID1,0.003329598529876238,-0.002226602960449294,0.0027892680372132595,0.0012522738162691663,-0.0007652233645871933,Trajectory-2,0.0,51.0
IFIT2,-0.0637404897785341,0.0627321682733568,0.017909584210116028,-0.0022415823469870318,0.008320961150753065,Trajectory-1,9.0,0.0
FRMD4B,-0.1375690887733129,-0.0790666165257406,-0.01927824789000192,0.003199004503662385,0.04867548309256583,Trajectory-1,17.0,0.0
ABTB2,-0.0001219977990712253,0.004278839584944679,-0.004168979442010242,0.0064274636290270375,0.0027595745792984845,Trajectory-2,0.0,95.0
SEMA3C,0.0022575288432464574,0.0010948761916195855,-0.005102123427534144,0.007249439481741571,-7.276172355130622e-05,Trajectory-2,0.0,98.0
SERPINB2,-0.003963952408166762,0.012688883008591242,-0.014654487229989018,0.006489387024860182,0.007133523564382566,Trajectory-2,0.0,130.0
TMTC1,0.0025721369589160963,0.0008166839748134138,-0.00702098559779835,0.004579108399292891,-0.0022959503327180907,Trajectory-2,0.0,105.0
PADI4,0.0009752740248398929,0.0031700707435679495,-0.006275103734558595,0.005312580941818491,0.0006112898685398842,Trajectory-2,0.0,107.0
CAMKMT,0.0034931273939201664,-0.002808001270838637,0.0042246853176856735,-4.600062715952175e-05,-0.0010260375983099,Trajectory-2,0.0,45.0
FMN1,0.0030455792976291345,-0.0008023226839275996,-0.002779678198568983,0.0027107603869300405,-0.0025570757047746347,Trajectory-2,0.0,76.0
P2RY14,-0.0011415871822906558,0.008683921331374536,-0.023914621666315306,-0.0361234716723124,0.0002515337010430122,Trajectory-2,0.0,103.0
FAR2,-0.11243924662148416,0.008715539340595064,0.014113409579738048,-0.002529819617222055,-0.04770184823276562,Trajectory-1,13.0,0.0
WDR49,-0.09118568810309984,0.04937547388351191,0.02396746582833706,-0.002722455089792767,-0.027771694560579645,Trajectory-1,11.0,0.0
SNED1,0.0018266678001776114,0.002630708515313739,-0.009351844615991646,0.006303424601109202,-0.0001105640360241545,Trajectory-2,0.0,120.0
